Titre,Ingrédients,Instructions
Filet de colin au four,"Colin (3 filets), Tomate(s) (2), Oignon(s) (1), Herbes de provence (), Huile d'olive (), Crème fraîche liquide (), Sel poivre ()",
Poule au pot au Cookeo,"Poule (1 kg), Carotte(s) (4), Navet(s) (4), Blanc(s) de poireau(x) (2), Cœur de céleri (1), Oignon(s) (1), Bouquet(s) garni(s) (1), Clou(s) de girofle (5), Eau (1 l), Sel (), Poivre ()",
Filet de merlan au four,"Filet(s) de merlan (250 g), Crème fraîche (20 cl), Huile (20 cl), Carotte(s) (2), Moutarde à l'ancienne (1 c. à soupe), Sel poivre ()",
Steak haché au four,"Viande hachée (800 g), Œuf(s) (1), Oignon(s) (1), Persil frais (1 bouquet(s)), Chapelure (3 c. à soupe), Huile d'olive (), Sel poivre ()",
Pulled pork au Cookeo,"Rôti de porc (1 kg), Sauce soja (4 c. à soupe), Ketchup (5 c. à soupe), Miel liquide (2 c. à soupe), Sauce Worcestershire (1 c. à café), Epices (0,5 c. à café), Eau (5 cl)",
Filet de merlan et ses pommes de terre au four.,"Filet(s) de merlan (100 g), Pomme de terre à chair ferme (3), Beurre mou (), Beurre (), Farine (), Sel (), Poivre (), Piment de cayenne ()",
Filets de rouget au safran,"Filet(s) de rouget (400 g), Vin blanc sec (50 cl), Crème fraîche liquide (15 cl), Échalote(s) (3), Bouillon de poisson (1 cube(s)), Huile d'olive (), Poivre (), Safran (1 pincée(s))",
Carré de porc au four,"Carré de porc (1 kg), Pomme(s) de terre (500 g), Eau (200 ml), Vin blanc (150 ml), Beurre (80 g), Oignon(s) (2), Ail (4 gousse(s)), Huile d'olive (3 c. à soupe), Herbes de provence (1 c. à soupe), Persil ciselé (1 c. à soupe), Sel (), Poivre ()",
Boulettes de viande à l'italienne,"Viande hachée (450 g), Tomate(s) (2), Œuf(s) (1), Ail (4 gousse(s)), Oignon(s) (1), Chapelure (20 g), Parmesan (20 g), Lait (30 ml), Huile d'olive (2 c. à soupe), Sauce tomate (2 c. à café), Concentré de tomate (1 c. à soupe), Persil (1 c. à soupe), Origan séché (1 c. à soupe), Sel poivre ()",
Filet mignon à la moutarde moelleux à souhait,"Filet mignon fumé (1), Moutarde à l'ancienne (4 c. à café), Café (2 c. à café), Eau tiède (1 verre(s))",
Filet mignon à la moutarde moelleux à souhait,"Filet mignon fumé (1), Moutarde à l'ancienne (4 c. à café), Café (2 c. à café), Eau tiède (1 verre(s))",
Filet mignon au cidre en cocotte et ses pommes,"Filet mignon(s) (1), Cidre brut (), Pomme(s) (4), Champignon(s) de paris (300 g), Oignon(s) (1), Ail (1 Gousse), Crème fraîche (), Fond de veau (), Thym (), Laurier (), Clous de girofle (2), Beurre (100 g), Huile (), Sel poivre ()",
Marinade pour porc,"Huile d'olive (8 c. à soupe), Miel liquide (4 c. à soupe), Sauce soja (4 c. à soupe), Graine de moutarde (1 c. à soupe), Oignon(s) (1), Ail (1 Gousse), Thym (1 c. à café), Sel (), Poivre ()",
Rôti de porc à la moutarde au Cookeo,"Rôti de porc (800 g), Moutarde de Dijon (2 c), Oignon(s) (1), Fond de veau (20 cl), Huile d'olive (1 c), Sel (), Poivre ()",
Joue de boeuf au Cookeo,"Joue de boeuf (1 kg), Carotte(s) (500 g), Ail (3 gousse(s)), Oignon(s) (2), Vin rouge (12 cl), Eau (12 cl), Vinaigre balsamique (1 c. à soupe), Farine (2 c. à soupe), Huile d'olive (1 filet), Bouquet(s) garni(s) (1), Persil (), Sel poivre ()",
Chaussons à la viande hachée,"Pâte(s) brisée(s) (1), Steak haché(s) (2), Oignon(s) (1), Persil frais (), Jaune(s) d'œuf(s) (1), Sel (), Poivre ()",
Filet de canard laqué au four,"Canard (6 filets), Miel (50 g), Sauce soja (5 cl), Vinaigre balsamique (5 cl), Huile d'olive (5 cl), Huile d'arachide ()",
Pierogis polonais,"Farine (250 g), Œuf(s) (3), Reste de viande (), Oignon(s) émincé(s) (1), Pain dur (), Persil hâché (), Beurre (1 noix), Sel poivre ()",
Filet de bœuf au four,"Filet de boeuf (800 g), Ail (2 gousse(s)), Beurre (40 g), Persil (0,5 bouquet(s)), Chapelure (2 c. à soupe), Huile d'olive (2 c. à soupe), Moutarde (1 c. à soupe), Herbes de provence (1 c. à café), Sel (), Poivre vert (1 c. à café), Poivre (1 c. à café)",
Boulettes de viande maison napolitaines,"Viande de boeuf hachée (500 g), Œuf(s) (1), Chapelure (50 g), Parmesan râpé (20 g), Sauce tomate (625 ml), Oignon(s) (1), Ail (1 Gousse), Persil plat ciselé (Quelques feuilles), Basilic (Quelques feuilles), Huile d'olive (2 c. à soupe), Sel poivre ()",
Saucisse de morteau aux lentilles,"Saucisse(s) de Morteau (1), Lentilles vertes (250 g), Oignon(s) (1), Carotte(s) (1), Muscade (), Thym (), Laurier (), Moutarde (1 c. à soupe), Huile d'olive (1 c. à soupe), Sel, poivre ()",
Perdreaux rôtis,"Perdrix (2), Beurre (50 g), Huile (5 cl), Vin blanc (1 dl), Sel, poivre ()",
Boulettes de viande marocaine,"Viande hachée (750 g), Tomate(s) pelée(s) (250 g), Poivron (1), Oignon(s) émincé(s) (1), Cumin (1 c. à café), Paprika (1 c. à café), Gingembre (1 pincée(s)), Persil plat (1 poignée(s)), Coriandre (1 poignée(s)), Huile d'olive (), Sel poivre ()",
Filets de poulet aux poireaux,"Blanc(s) de volaille (4), Blanc(s) de poireau(x) (1), Carotte(s) (2), Farine (1 c. à soupe), Beurre allégé (10 g), Crème liquide à % (20 cl), Bouillon de volaille (0,25 cube(s)), Huile d'olive (1 c. à soupe), Eau (10 cl), Sel poivre ()",
Poitrine d’agneau confite,"Poitrine d'agneau (1,2 kg), Gousse(s) d'ail (2), Gingembre frais râpé (40 g), Sauce soja (4 c. à soupe), Ketchup (4 c. à soupe), Miel liquide (2 c. à soupe), Piment (Un peu)",
Filet mignon aux pommes,"Filet mignon de porc (1), Pomme(s) (4), Miel liquide (4 c. à soupe), Curry (1 c. à soupe), Beurre (30 g), Sel poivre ()",
Filets de poulet à la crème et vin blanc,"Filet(s) de poulet (4), Échalote(s) (2), Crème fraîche (50 cl), Champignon(s) de paris (), Vin blanc (20 c), Sel, poivre ()",
Ragoût de chevreuil au Cookeo,"Chevreuil (1 kg), Carotte(s) (6), Pomme(s) de terre (4), Vin de Bourgogne rouge (50 cl), Oignon(s) (1), Bouquet(s) garni(s) (1), Farine (2 c. à soupe), Sel poivre ()",
Empanadas au poulet,"Pâte(s) brisée(s) (2 rouleau), Blanc(s) de poulet (450 g), Oignon(s) (2), Poivron(s) rouge(s) (1), Tomate(s) (3), Maïs (4 c. à soupe), Ail (1 gousse(s)), Paprika (1 c. à café), Piment (0,5 c. à café), Huile d'olive (2 c. à soupe), Jaune(s) d'œuf(s) (2), Lait ()",
Filet de maquereau au citron,"Maquereau(s) (2 filets), Huile d'olive (2 c. à soupe), Jus de citron (1 c. à soupe), Vinaigre de cidre (1 c. à café), Aneth (), Citron(s) (rondelles), Sel poivre ()",
Roulés de pruneaux au lard,"Pruneaux dénoyautés (500 g), Lard fin (20 tranche(s))",
"Filet mignon façon Orloff, tomates et blé","Filet mignon de porc (1), Bacon (8 tranche(s)), Fromage à raclette (8 tranche(s)), Vin blanc (1 verre(s)), Oignon(s) (1 boîte(s)), Blé (250 g), Poivre ()",
kefta a la marocaine,"Œuf(s) (6), Oignon(s) moyen(s) (2), Persil (), Coriandre (), Viande de boeuf hachée (1 kg), Sel (), Poivre (), Curcuma (0,5 c. à café), Cumin (c. à café), Paprika (0,5 c. à café), Purée de tomate (), Tomate(s) (3), Ail (1 Gousse), Huile d'olive (), Sucre ()",
Bouillon de poule aux vermicelles à l'ancienne,"Poule (1), Poireau(x) (2), Carotte(s) (3), Branches de céleri (2), Navet(s) (2), Oignon(s) (1), Ail (2 gousse(s)), Feuille(s) de laurier (1), Eau (3 l), Gros sel (1 c. à café), Poivre (), Vermicelle(s) (200 g)",
Pigeon aux lardons et champignons au Cookeo,"Pigeon (2), Champignon(s) (500 g), Lardons (250 g), Oignon(s) (2), Bouillon de poule (1 cube(s)), Vin rouge (20 cl), Eau (15 cl), Farine (2 c. à soupe), Huile d'olive (), Sel (), Poivre ()",
"Filet mignon, pommes de terre et champignons","Filet mignon(s) (1), Champignon(s) (2 boîte(s)), Pomme(s) de terre (10), Oignon(s) (1), Beurre (50 g), Thym (2 Branches), Crème fraîche (4 c. à soupe), Huile (2 c. à soupe), Poivre (1 pincée(s))",
Filets de sole au four,"Filet(s) de sole (2 portion(s)), Huile d'olive (1 filet), Ail haché (6 gousse(s)), Huile neutre (2 c. à soupe), Herbes fraîches (1 c. à soupe), Jus de citron (1), Persil (), Sel poivre ()",
Mini-croissants à la saucisse,"Pâte(s) brisée(s) (1), Knacki(s) (4), Crème fraîche (1 c. à soupe), Œuf(s) (1), Gruyère râpé (1 poignée(s))",
Filets de poulet panés,"Filet(s) de poulet (4), Œuf(s) (1), Biscotte(s) (3), Farine (1 c. à soupe), Herbes de provence (1 c. à café), Huile d'olive (2 c. à soupe), Sel poivre du moulin ()",
Filet mignon en feuilleté,"Filet mignon de porc (1), Jaune(s) d'œuf(s) (1), Oignon(s) (1), Gruyère râpé (100 g), Jambon (2 tranche(s)), Pâte(s) feuilletée(s) (1 rouleau)",
Sauté de veau aux champignons de Paris,"Veau (1,2 kg), Champignon(s) (500 g), Vin blanc (30 cl), Farine (30 g), Oignon(s) (2), Ail (2 gousse(s)), Carotte(s) (2), Bouquet(s) garni(s) (1), Huile (1 c. à soupe), Sel poivre ()",
Sauté de veau aux champignons de Paris,"Veau (1,2 kg), Champignon(s) (500 g), Vin blanc (30 cl), Farine (30 g), Oignon(s) (2), Ail (2 gousse(s)), Carotte(s) (2), Bouquet(s) garni(s) (1), Huile (1 c. à soupe), Sel poivre ()",
Filets de Saint Pierre à la crème,"Saint-pierre (6 filets), Rosé (1 verre(s)), Oignon(s) (2), Crème fraîche (1 cl), Citron(s) (1), Œuf(s) (1), Laurier (1 feuille (s)), Thym (1 brin(s)), Ail (1 Gousse), Farine (1 c. à café), Fond (1 c. à café), Sel poivre ()",
Filets de harengs marinés,"Harengs (8 filets), Vinaigre de vin blanc (), Cornichon(s) (12), Oignon(s) (1), Carotte(s) (1), Laurier (1 feuille), Thym (), Romarin (), Huile de tournesol (), Poivre (grain)",
Kefta sauce tomate,"Oignon(s) moyen(s) (2), Persil (), Coriandre (), Viande de boeuf hachée (1 kg), Sel (), Poivre (), Cumin (1 c. à café), Purée de tomate (), Tomate(s) (3), Ail (1 Gousse), Huile d'olive (), Curcuma (1 c. à café), Paprika (1 c. à café)",
Filets de truite à la crème,"Filet(s) de truite (250 g), Amandes effilées (25 g), Ciboulette (1 c. à soupe), Persil plat (1 c. à café), Jus de citron (1 c. à soupe), Crème fraîche (25 cl), Sancerre (25 cl), Sel poivre ()",
Filet de truite au four,"Truite saumonée (200 g), Citron(s) (1), Ail (1 Gousse), Cerfeuil (2 c. à soupe), Huile de colza (1 c. à soupe), Sel poivre (), Pomme(s) de terre (600 g), Épinard (150 g), Fromage frais (60 g), Lait (4 c. à soupe), Vin blanc (3 c. à soupe), Cerfeuil (2 c. à soupe), Sel poivre ()",
Filet de Limande et sa sauce crémeuse,"Limande(s) (2 filets), Crème fraîche semi-épaisse (250 ml), Moutarde (2 c. à soupe), Moutarde à l'ancienne (2 c. à café), Ciboulette (), Sel de Guérande (), Farine (), Citron(s) (1)",
Tripes au Cookeo,"Tripes (800 g), Carotte(s) (5), Oignon(s) (3), Vin blanc (50 cl), Concentré de tomates (2 c. à soupe), Bouillon cube(s) (1), Bouquet(s) garni(s) (1), Sel, poivre ()",
Rissoles à la viande,"Farine de blé (1 kg), Margarine fondue (150 g), Sucre en poudre (10 g), Œuf(s) entier(s) (5), Levure de boulanger, déshydratée (30 g), Eau froide (), Sel fin (10 g), Viande hachée (1 kg), Œuf(s) entier(s) (1), Échalote(s) (2), Ail (1 gousse(s)), Persil hâché (2 c. à soupe), Chapelure (3 c. à soupe), Sel poivre (), Huile de friture ()",
Katsudon,"Porc (4 tranche(s)), Œuf(s) (4), Riz basmati (250 g), Farine (40 g), Chapelure (20 g), Oignon(s) (1), Mirin (1 c. à soupe), Sauce soja (1 c. à soupe), Huile d'arachide (), Sel (), Poivre ()",
Kefta boeuf,"Viande de boeuf hachée (1 kg), Piment doux (1 c. à café), Cumin en poudre (1 c. à café), Curcuma (1 c. à café), Gingembre moulu (1 c. à café), Paprika (1 c. à café), Ail (3 gousse(s)), Persil plat ciselé (1 verre(s)), Coriandre ciselée (1 verre(s)), Huile d'olive (1 c. à soupe), Sel poivre ()",
Boulette Liègeoise Express,"Oignon(s) (4), Porc haché (800 g), Beurre (50 g), Sirop de liège (2 c. à soupe), Sel poivre (), Bouillon de viande (1 cube(s)), Eau (200 ml)",
Filet mignon sauce roquefort,"Filet(s) mignon(s) (2), Échalote(s) (3), Crème liquide (1 brique(s)), Vin blanc (30 cl), Roquefort (200 g), Sel, poivre ()",
Boulettes kefta,"Viande de boeuf hachée (750 g), Cumin (1 c. à café), Paprika (1 c. à café), Coriandre (1 c. à café), Persil plat ciselé (1 c. à soupe), Huile d'olive (2 c. à soupe), Ail (2 gousse(s)), Oignon(s) (1), Tomate(s) pelée(s) (5), Sel, poivre ()",
Rissois à la viande,"Farine (200 g), Margarine (50 g), Chapelure (125 g), Huile d'olive (1 c. à soupe), Eau (2,5 dl), Sel (), Viande hachée (200 g), Tomate(s) (1), Carotte(s) (1), Oignon(s) (1), Persil plat (1 botte(s)), Farine (2 c. à soupe), Œuf(s) (2), Huile de tournesol (), Sel (), Poivre ()",
Tripes à la provençale,"Tripes de boeuf (1 kg), Carotte(s) (1), Oignon(s) (1), Garni (1 bouquet(s)), Farine (2), Clou(s) de girofle (2), Ail (1 Gousse), Concentré de tomate (4), Vin blanc sec (1 bouteill(s)), Cognac (5 cl), Huile d'olive (), Sel (), Poivre ()",
Friand à la chair à saucisses,"Pâte(s) feuilletée(s) (1 rouleau), Chair à saucisse(s) (400 g), Jaune(s) d'œuf(s) (2), Thym séché (1 c. à soupe), Graine de sésame doré (1 c. à soupe), Poivre ()",
Filet mignon caramélisé,"Filet mignon de porc (900 g), Miel liquide (5 c. à soupe), Baie rose(s) (1 c. à café), Poivre en grain (0,5 c. à café), Sauce soja (5 cl), Huile (2 c. à soupe), Ciboulette (1 bouquet(s)), Sel ()",
Rougail saucisses au Thermomix,"Saucisse(s) fumée(s) (6), Tomate(s) pelée(s) (600 g), Oignon(s) (2), Ail (3 gousse(s)), Gingembre moulu (1 c. à café), Safran (2 dosette(s)), Huile d'olive (40 g), Curcuma en poudre (1 c. à soupe), Sel (), Poivre ()",
Samoussas indiens à la viande,"Feuille(s) de brick (8), Viande hachée (100 g), Pomme(s) de terre (2), Petits pois (1 bol(s)), Carotte(s) (2), Oignon(s) (2), Curry (1 c. à café), Cumin (1 c. à café), Coriandre hachée (1 c. à soupe), Beurre clarifié (20 g), Huile d'olive (4 c. à soupe), Sel (), Poivre ()",
Jambon persillé,"Palette fumée (1 kg), Porc (1 pied), Eau (1 l), Vin blanc (0,5 l), Oignon(s) (1), Gousse(s) d'ail (2), Garni (1 bouquet(s)), Persil (1 bouquet(s))",
Joue de porc au miel,"Joue de porc (1 kg), Farine (2 c. à soupe), Beurre (30 g), Huile d'olive (2 c. à soupe), Oignon(s) (1), Carotte(s) (1), Laurier (1 feuille), Thym (3 brin(s)), Miel (2 c. à soupe), Cidre brut (500 ml), Sel (1 pincée(s))",
Cevapcici,"Viande de boeuf hachée (200 g), Agneau haché (200 g), Porc haché (200 g), Lard (100 g), Oignon(s) haché(s) (1), Vin blanc (1 verre(s)), Sel poivre ()",
Tendron de veau au Cookeo,"Tendron de veau d'1,5 à 2 cm d'épaisseur (6), Champignon(s) de paris (200 g), Olives vertes dénoyautée(s) (10), Carotte(s) (2), Coulis de tomate (20 cl), Farine (2 c. à soupe), Ail (1 gousse(s)), Bouquet(s) garni(s) (1), Sel, poivre (), Eau (20 cl)",
Rognons de porc au au Cookeo,"Rognons de porc (600 g), Oignon(s) (2), Eau (15 cl), Tomate concassée (1 boîte(s)), Crème fraîche (2 c. à soupe), Farine (2 c. à soupe), Moutarde (1 c. à soupe), Concentré de tomates (1 c. à soupe), Huile d'olive (1 c. à soupe), Vin rouge (1 verre(s)), Sel (), Poivre ()",
Kefta libanais,"Agneau haché (1 kg), Ciboule (4 tiges), Ail (3 gousse(s)), Persil plat (1 verre(s)), Coriandre (1 verre(s)), Menthe (1 verre(s)), Paprika (1 c. à café), Cumin en poudre (1 c. à café), Curcuma (1 c. à café), Gingembre moulu (1 c. à café), Œuf(s) (1), Chapelure (2 c. à soupe), Huile d'olive (0,5 c. à soupe), Sel poivre ()",
Poulet au miel au Monsieur Cuisine Connect,"Blanc(s) de poulet (500 g), Miel liquide (80 g), Jus de citron (30 g), Graines de sésame (50 g), Sauce soja salée (25 ml), Maizena (10 g), Ail (3 Gousse), Huile d'olive (3 c. à soupe), Persil frais (0,5 bouquet(s)), Sel poivre ()",
Blanc de poulet au citron confit,"Blanc(s) de poulet (4), Crème (20 cl), Citrons confits (2), Oignon(s) (2), Gingembre frais (4 cm), Ail (1 gousse(s)), Bouillon cube de volaille (1), Curcuma (1 c. à café), Coriandre fraîche (5 brin(s)), Poivre ()",
Saucisses à l'italienne,"Saucisse(s) (150 g), Huile d'olive (15 ml), Ail (1 gousse(s)), Romarin (5 g), Sauce tomate (85 ml), Sel (), Poivre ()",
Côtes de porc à la crème au Cookeo,"Côte(s) de porc (4), Champignon(s) (200 g), Oignon(s) (2), Vin blanc (20 cl), Eau (20 cl), Crème fraîche (6 c. à soupe), Moutarde (2 c. à soupe), Huile de colza (1 filet), Sel, poivre ()",
Paupiette de dinde à la crème,"Paupiette de dinde (4), Crème fraîche (200 ml), Fond de veau (150 ml), Vin blanc (50 ml), Huile d'olive (1 c. à soupe), Moutarde (1 c. à soupe), Oignon(s) (1), Ail (1 Gousse), Laurier (1 feuille), Thym (1 branche(s)), Mélange 5 baies (1 c. à café), Sel (), Poivre ()",
