Titre,Ingrédients,Instructions
Madeleines au chocolat simples,"Chocolat noir (120 g), Œuf(s) (3), Farine (100 g), Sucre (120 g), Beurre (100 g), Sucre vanillé (1 Sachet), Levure chimique (2 c. à café)",
Porridge crémeux à la banane,"Flocon d'avoine (6 c. à soupe), Lait demi-écrémé (50 cl), Banane(s) (2), Sucre en poudre (2 c. à café)",
Mousse au chocolat légère,"Chocolat noir à pâtisser (200 g), Œuf(s) (6)",
Meringues fantômes,"Blanc(s) d'œuf(s) (2), Sucre en poudre (70 g), Sucre glace (70 g), Chocolat noir (60 g)",
Poires au sirop en bocaux sans stérilisation,"Poire(s) (1 kg), Eau (1 l), Sucre de canne (300 g), Vanille (2 gousse(s))",
Rôti de châtaignes,"Châtaigne cuite (250 g), Gruyère râpé (25 g), Chapelure (15 g), Cerneaux de noix (25 g), Oignon(s) (1), Œuf(s) (1), Beurre (1 Noisette), Sel poivre ()",
Confiture de noix,"Noix (500 g), Sucre (500 g), Cannelle (1 bâton(s)), Citron(s) (1)",
Croquants aux amandes,"Farine (330 g), Sucre (230 g), Amande(s) entière(s) (200 g), Œuf(s) (3), Fleur d'oranger (1 c. à soupe)",
Glaçage royal sans œuf,"Sucre en poudre (225 g), Eau tiède (4 c. à soupe)",
Mousse au chocolat Monsieur Cuisine,"Chocolat noir (200 g), Sucre (45 g), Œuf(s) (3), Jus de citron (5 cl), Crème fleurette (200 g)",
Blanc manger coco,"Lait de coco (40 cl), Lait concentré non sucré (20 cl), Sucre en poudre (100 g), Gélatine (3 feuilles), Vanille en poudre (0,5 c. à café)",
Cookies flocons d’avoine et banane,"Banane(s) (240 g), Flocon d'avoine (90 g)",
Mousse aux framboises en 10 min,"Framboise(s) (300 g), Sucre en poudre (110 g), Crème liquide entière (30 cl), Gélatine (4 feuilles)",
Kesra algérienne,"Semoule de blé dur (1 kg), Huile (30 cl), Sel fin (2 c. à café), Eau tiède (50 cl)",
Galettes sarrasin sans repos,"Farine de sarrasin (250 g), Eau (70 cl), Œuf(s) (1), Sel (1 pincée(s)), Huile végétale ()",
Mug cake chocolat sans œuf,"Farine (3 c. à soupe), Crème fraîche (2 c. à soupe), Lait (2 c. à soupe), Levure chimique (0,5 c. à café), Sucre en poudre (2 c. à soupe), Beurre (2 c. à soupe), Chocolat noir (25 g)",
Ganache au chocolat blanc,"Chocolat blanc (250 g), Crème liquide entière (10 cl)",
Croustade de pommes,"Pomme(s) à cuire (3), Armagnac (5 cl), Feuille(s) de filo (12), Beurre fondu (60 g), Sucre en poudre (60 g)",
Tarte fine aux pommes de Cyril Lignac,"Pâte(s) feuilletée(s) (1), Pomme(s) à cuire (3), Compote de pomme (100 g), Sucre cassonade (), Glace vanille (4 boule)",
Riz au lait au four,"Riz rond (100 g), Sucre en poudre (100 g), Lait (1 l), Beurre (50 g), Sucre vanillé (1 Sachet)",
Compote de pomme sans sucre ajouté,"Pomme(s) (8), Vanille (1 Gousse)",
Recettes de bûches de Noël,,
Compote de pomme sans sucre ajouté,"Pomme(s) (8), Vanille (1 Gousse)",
Gâteau flocon d'avoine,"Flocon d'avoine (250 g), Sucre en poudre (100 g), Lait (25 cl), Huile végétale (15 cl), Œuf(s) (2), Sucre vanillé (1 Sachet), Bicarbonate de soude (2 c. à thé), Sel (1 pincée(s))",
Pancakes Halloween,"Farine (180 g), Œuf(s) (2), Sucre en poudre (40 g), Levure chimique (1), Lait (250 ml), Beurre fondu (40 g), Sel (1 pincée(s)), Colorant orange (1 pointe(s)), Tartine (2 c. à soupe)",
Flan de potimarron sucré,"Potimarron (500 g), Farine (70 g), Sucre (120 g), Beurre (40 g), Œuf(s) (3), Lait (25 cl), Sel ()",
Flan au lait de coco et au caramel,"Lait de coco (40 cl), Lait (25 cl), Œuf(s) (4), Sucre en poudre (6 c. à soupe), Sucre en poudre (8 c. à soupe), Eau ()",
Foutou à la banane plantain et au manioc de Côte d'ivoire,"Banane plantain (6), Manioc (1 racine), Farine de manioc (1)",
Panna cotta aux framboises,"Framboise(s) fraîche(s) (500 g), Sucre glace (50 g), Crème liquide (40 cl), Gélatine (2 feuilles), Vanille (1 Gousse)",
Cake à la banane et au chocolat sans beurre,"Farine (120 g), Sucre en poudre (120 g), Œuf(s) (3), Banane(s) (3), Pépite(s) de chocolat noir (120 g), Levure chimique (1 Sachet), Crème liquide (10 cl), Sel (1 pincée(s))",
Tarte aux pommes pâte sablée Thermomix,"Farine (250 g), Beurre (120 g), Sucre (80 g), Œuf(s) (1), Sel (1 pincée(s)), Pomme(s) (6), Sucre glace (2 c. à soupe), Cannelle (1 pincée(s))",
Crêpes avec 1 œuf,"Farine (125 g), Lait (20 cl), Œuf(s) (1), Bière (5 cl), Huile (1 c. à soupe), Sel (1 pincée(s))",
Riz au gras de ma grand-mère,"Poulet (1), Riz (350 g), Bouillon de poule (1 cube(s)), Sel, poivre ()",
Cake au chocolat au Thermomix,"Chocolat noir à pâtisser (200 g), Beurre demi-sel (120 g), Sucre (100 g), Farine (60 g), Œuf(s) (3), Levure chimique (1 Sachet)",
Wok de légumes croquants,"Carotte(s) (4), Courgette(s) (2), Maïs (1 boîte(s)), Brocoli(s) (1), Oignon(s) nouveau (1 botte(s)), Ail (1 Gousse), Persil (1 barquette(s)), Coriandre (1 barquette(s)), Piment oiseau (1), Huile de tournesol (2 c. à soupe), Sauce soja (1 c. à soupe), Huile de sésame (1 c. à soupe), Gingembre frais (1 c. à café), Poivre ()",
Truffes au chocolat faciles,"Chocolat à dessert (200 g), Beurre en morceau(x) (100 g), Sucre glace (1 c. à soupe), Cacao amer en poudre ()",
Compote de figues au Thermomix,"Figues (1 kg), Sucre (100 g), Eau (100 g)",
Pomme au four rapide,"Pomme(s) (4), Sucre (60 g), Beurre (40 g)",
Oeufs au lait au caramel,"Œuf(s) entier(s) (4), Sucre en poudre (60 g), Lait entier (0,5 l), Extrait de vanille liquide (1 c. à café), Sucre en poudre (80 g), Eau (3 c. à soupe)",
Ganache au chocolat au lait,"Chocolat au lait (375 g), Crème fraîche liquide (335 g), Sucre vanillé (1 Sachet)",
Tarte aux figues congelées,"Pâte(s) feuilletée(s) (1 rouleau), Figues (400 g), Poudre d'amandes (75 g), Œuf(s) (1), Sucre en poudre (50 g), Beurre (40 g), Miel liquide (4 c. à soupe)",
Muffin au potimarron,"Potimarron (1), Farine (300 g), Lait (250 ml), Sucre en poudre (100 g), Beurre (80 g), Œuf(s) (2), Cannelle (1 c. à café), Levure chimique (1 Sachet)",
Tarte aux noix de Cyril Lignac,"Farine (250 g), Sucre (125 g), Beurre (125 g), Œuf(s) entier(s) (1), Jaune(s) d'œuf(s) (1), Cerneaux de noix (150 g), Sucre roux (80 g), Œuf(s) (2), Beurre (20 g), Sucre (15 g), Crème fraîche épaisse (1 c. à soupe), Farine (1 c. à soupe), Extrait de vanille (Quelques gouttes)",
Pâte de coings au Cookeo,"Coing (2 kg), Sucre (1,5 kg), Eau (25 cl), Vanille (1 c. à thé)",
Coulis de framboises surgelées,"Framboise(s) surgelée(s) (500 g), Sucre glace (200 g), Jus de citron (1)",
Pomme au four au miel,"Pomme(s) (4), Miel (60 g), Beurre (40 g), Citron(s) (1)",
Riz au lait crémeux au Companion de Moulinex®,"Riz rond (150 g), Lait (1 l), Sucre poudre (80 g), Vanille (3 c. à café)",
Tarte aux figues blanches,"Pâte(s) feuilletée(s) (1), Figues blanche(s) (6), Poudre d'amandes (125 g), Œuf(s) (1), Sucre en poudre (70 g), Crème fraîche liquide (100 g)",
Meringue française,"Sucre semoule (250 g), Blanc(s) d'œuf(s) (4), Sel fin ()",
Polenta au Thermomix,"Polenta (250 g), Lait (400 ml), Eau (800 g), Parmesan râpé (40 g), Huile d'olive (1 c. à soupe), Sel poivre ()",
Pêche Melba facile,"Pêche(s) (3), Glace vanille (6 boule), Sucre en poudre (1 tasse(s)), Eau (2 tasse(s)), Jus de citron (1 tasse(s)), Framboise(s) (2 tasse(s)), Jus de citron (2 c. à soupe), Sucre (1 tasse(s)), Crème liquide fouettée (), Amande grillée ()",
Mousse au chocolat vegan  à l'eau de pois chiche,"Eau (140 ml), Sucre de canne (1 c. à soupe), Sel (1 pincée(s)), Chocolat (100 g), Lait de soja (1 c. à soupe)",
Mac and cheese au cheddar,"Macaroni(s) (400 g), Cheddar (200 g), Beurre (40 g), Farine (40 g), Lait (400 ml), Moutarde (0,5 c. à soupe), Chapelure (60 g), Persil ()",
